极致播放器专用源

发布频道：https://t.me/jizhi111
交流讨论：https://t.me/jizhi222

js=smart

SmartTV-馬來西亞,#genre#
Celestial Classic,http://?id=Celestial2
CNBC,http://?id=cnbc_twn
RTM Sports HD,http://?id=Rtmsport
TLC,http://?id=Tlc
CNA,http://?id=cna
AFC 亚洲旅游台,http://?id=asiatravel_twn
BBC World News,http://?id=bbcnews_twn
Foodnetwork Hd,http://?id=Foodnetwork_mega
HGTV,http://?id=HGTV
Arena,http://?id=Arena
Goshop,http://?id=Goshop
Celestial Movies HD,http://?id=Celestial_mega
Arena 2,http://?id=Arena2
Axn HD,http://?id=Axn
Paramount Network,http://?id=Paramountnetwork
BolaArena 1,http://?id=Bolaarena1
Astrol Kplus,http://?id=Kplus
Rock Actions,http://?id=Rockaction
Bloomberg News,http://?id=bloomberg_twn
Al-Jazeera,http://?id=aljazeera_twn
Rock Entertainment,http://?id=Rockentertain
Showcase,http://?id=Showcase_mega
BolaArena 2,http://?id=Bolaarena2
SmartTV-Singapore,#genre#
Channel 5,http://?id=Channel5HD
Ch 5 backup,http://?id=Ch5_mega
Channel 8,http://?id=Channel8HD
Channel 8 backup,http://?id=Ch8_mega
Suria,http://?id=Suria
Suria backup,http://?id=Suria_backup
Channel U,http://?id=ChannelU
Channel U backup,http://?id=ChU_mega
Vasantham,http://?id=Vasantham
Vasantham backup,http://?id=Vasantham_mega
CNA,http://?id=cna
CNA backup,http://?id=cna_twn
SmartTV-Indonesia,#genre#
TVRI National,http://?id=TVRI
RCTI,http://?id=Rcti
Kompass TV,http://?id=Kompass
Berita Satu,http://?id=BeritaSatu_eko
Indosiar HD,http://?id=Indosiar
AnTV,http://?id=Antv
MNC TV,http://?id=Mnctv
Trans 7,http://?id=Trans7_eko
Transtv,http://?id=Transtv
JTV,http://?id=JTV_eko
Metro TV,http://?id=metrotv_eko
Cinemax,http://?id=Cinemax
SCTV,http://?id=SCTV
Tvone,http://?id=Tvone
TVMU,http://?id=TVMU_eko
GTV,http://?id=Gtv
RTV,http://?id=Rtv
Jak TV,http://?id=JakTV
iNews TV,http://?id=Inewstv
Daai TV,http://?id=DaaiTV
Net TV,http://?id=NetTV
Animax,http://?id=Animax
EWTN,http://?id=Ewtn
AlQuran AlKareem,http://?id=AlQuran
Tawaf TV,http://?id=TawafTV
Vision Prime,http://?id=VisionPrime
Muslim TV,http://?id=MuslimTV
Music TV,http://?id=MusicTV
Lifestyle&Fashion,http://?id=Lifestyle
Entertain,http://?id=Entertain
Hits,http://?id=Hits
Warner TV,http://?id=WarnerTV
SCM,http://?id=Weishimovie
Thrill,http://?id=Thrill
Fight Sports,http://?id=Fs
Beinsports 2 HD,http://?id=Bein2hd
Hits Movie,http://?id=Hitsmovie
One,http://?id=One_mega
tvN Movie,http://?id=Tvnmovie
Celestial Movies HD,http://?id=Celestialindo
Rock Actions,http://?id=Rockaction
Rock Entertainment,http://?id=Rockentertain
SmartTV-香港,#genre#
翡翠台,http://?id=jade_twn
iNews 新闻台,http://?id=inews_twn
J 2,http://?id=j2_twn
J2 备用,http://?id=j2_hkdavid
珍珠台,http://?id=pearl_twn
珍珠台  备用,http://?id=pearl_hkdavid
凤凰香港,http://?id=hkphoenix_twn
无线财经资讯台,http://?id=tvbcaijing_twn
TVB 星河,http://?id=tvbxinhe_twn
RHK 31,http://?id=rhk31_twn
VIUTV1,http://?id=viu1_twn
RHK 32,http://?id=rhk32_twn
凤凰卫视,http://?id=phoenixtv_hd
凤凰资讯,http://?id=phoenixinfo_hd
Viu6,http://?id=viusix_twn
Viu TV 69,http://?id=viutv69_hkdavid
翡翠台 backup,http://?id=jade_mike
SmartTV-中國,#genre#
CCTV-1 综合 HD,http://?id=cctv1
CCTV-2 财经,http://?id=cctv2
CCTV-3 综艺 HD,http://?id=cctv3
CCTV-4 中文国际,http://?id=cctv4
CCTV4 新闻台,http://?id=Cctv4
CCTV-7 军事农业,http://?id=cctv7
CCTV-8 电视剧 HD,http://?id=cctv8hd
CCTV-9 记录 HD,http://?id=cctv9hd
CCTV-10 科教 HD,http://?id=cctv10hd
CCTV-11 戏曲,http://?id=cctv11
CCTV-12 社会与法,http://?id=cctv12
CCTV-13 新闻频道,http://?id=cctv13
CCTV-14 少儿,http://?id=cctv14
CCTV-6,http://?id=cctv6
CCTV-15 音乐,http://?id=cctv15
湖南卫视 （备份）,http://?id=hunan_twn
浙江卫视 （备用）,http://?id=zhejiang_twn
江苏卫视 （备份）,http://?id=jiangsu_twn
深圳卫视,http://?id=shenzhen
福建东南卫视,http://?id=fujian
广东南方卫视,http://?id=nanfang_twn
广东卫视,http://?id=guangdongweishi_twn
北京卫视,http://?id=beijing
珠江台,http://?id=zhujiang
广西卫视,http://?id=guangxi
湖北卫视,http://?id=hubei
四川卫视,http://?id=sichuan_twn
凤凰卫视,http://?id=phoenixtv_hd
东方卫视,http://?id=dongfangweishi_twn
CGTN,http://?id=CGTN
CCTV-17,http://?id=cctv17
CCTV-5 体育频道,http://?id=cctv5
CCTV-5+ 体育赛事 HD,http://?id=cctv5plus
凤凰资讯,http://?id=phoenixinfo_hd
SmartTV-運動,#genre#
Supersports 1,http://?id=Assp1
Supersports 1 backup,http://?id=go_assp1
Supersportq 1 backup2,http://?id=Assp1_mega
Supersports 2,http://?id=Assp2
Supersports 2 backup,http://?id=go_assp2
Supersports 3,http://?id=Assp3
Supersports 3 backup,http://?id=go_assp3
Supersports 3 backup2,http://?id=Assp3_mega
Supersports 4,http://?id=Assp4_mega
Supersports 4 backup,http://?id=go_assp4
Supersports 5,http://?id=go_assp5
Bein 2HD,http://?id=Beinhd
Beinsports HD,http://?id=Besports
Champion 5 EPL,http://?id=Champion5epl
WWE,http://?id=Wwe
Champion 6 EPL,http://?id=Champion6epl
Fight Sports,http://?id=Fs
UFC Network,http://?id=ufc_mega
NBA TV,http://?id=nbatv_twn
Astro Cricket,http://?id=Acricket_mega
Astro Golf,http://?id=Agolf
TNT Sports 1,http://?id=beeone
TNT Sports 2,http://?id=beetwo
TNT Sports 3,http://?id=beethree
TNT Sports 4,http://?id=beefour
Sony Ten 1,http://?id=ten1_raj
Sony Ten 2,http://?id=ten2_raj
Sony Ten 3,http://?id=ten3_raj
SPOTV 1 HD,http://?id=go_spotv
SPO TV 2,http://?id=go_spotv2
Beinsports 2 HD,http://?id=Bein2hd
Skysports Arena,http://?id=tiankongarena
Skysports F1,http://?id=tiankongf1
Skysports Cricket,http://?id=tiankongcricket
Skysports EPL,http://?id=tiankongepl
Skysports Football,http://?id=tiankongfootball
Skysports Golf,http://?id=tiankonggolf
Skysports Main Event,http://?id=tiankongmain
Skysports News,http://?id=tiankongnews
Skysports NFL,http://?id=tiankongnfl
Skysports Racing,http://?id=tiankongracing
Skysports Mix,http://?id=tiankongmix
CCTV-5 体育频道,http://?id=cctv5
CCTV-5+ 体育赛事 HD,http://?id=cctv5plus
爱尔达体育2台,http://?id=eltasport2_twn
爱尔达体育3台,http://?id=eltasport3_twn
RTM Sports HD,http://?id=Rtmsport
Arena,http://?id=Arena
Arena 2,http://?id=Arena2
BolaArena 1,http://?id=Bolaarena1
Bein 1 Sports,http://?id=bein1_mega
Bein 2 Sports,http://?id=bein2_mega
Bein 3 Sports,http://?id=bein3_mega
Bein 4 Sports,http://?id=bein4_mega
Bein 5 Sports,http://?id=bein5_mega
Bein 6 Sports,http://?id=bein6_mega
Bein 7 Sports,http://?id=bein7_mega
Rugby Pass TV,http://?id=Rugbypasstv
BolaArena 2,http://?id=Bolaarena2
SmartTV-台灣,#genre#
TVBS News 新闻台,http://?id=tvbs_n
TVBS 欢乐台 （备份）,http://?id=tvbshuanle_twn
TVBS HD,http://?id=tvbs
中天新闻 HD,http://?id=ctinews
中天娱乐 CTI Entertaiment,http://?id=ctient
中天综合 CTI Metro,http://?id=ctizhonghe
中天亚洲台,http://?id=ctiasia_twn
台视 TTV HD,http://?id=ttv_taiwan
台视新闻台,http://?id=ttvnews_twn
台视综合台,http://?id=ttvzhonghe_twn
中视 HD,http://?id=zhongshihd_twn
中视新闻台,http://?id=zhongshinews_twn
民视 HD,http://?id=ftvhd_taiwan
民视新闻台 FTV News,http://?id=ftvnew_taiwan
民视台湾台,http://?id=ftvtaiwan_twn
华视 CTS HD,http://?id=ctshd_twn
公视 CTV,http://?id=ctv_taiwan
八大第一 GTV First,http://?id=badafirst
八大综合 GTV Metro,http://?id=badazhonghe
八大戏剧 GTV Drama,http://?id=badadrama
八大娱乐 GTV Entertainment,http://?id=badaentertain
HBO_HD,http://?id=hbohd_twn
HBO_HITS,http://?id=hbohits_twn
Hollywood Movies,http://?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://?id=sanlitaiwan
三立戏剧台,http://?id=sanlixiju_twn
三立综合 Sanli Metro,http://?id=sanlizhonghe
三立都会台,http://?id=sanlidouhui
东森新闻 ETTV News,http://?id=ettvnews
CINEMAX,http://?id=cinemax_twn
东森综合 ETTV Metro,http://?id=ettvzhonghe
东森戏剧 ETTV Drama,http://?id=ettvdrama
东森超视,http://?id=ettvsuper
东森财经新闻 ETTV Business,http://?id=ettvcaijing_twn
寰宇财经,http://?id=huanyutaiwan_twn
寰宇新闻台,http://?id=huanyuxinwen_twn
大爱1台,http://?id=daai_twn
非凡新闻台,http://?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://?id=lunghuaxiju_twn
龙华戏剧台,http://?id=lunghuaxiju_twn
龙华经典台,http://?id=lunghuajingdian_twn
龙华偶像,http://?id=lunghuaidol_twn
AXN Taiwan,http://?id=axn_twn
靖天国际台,http://?id=jingtianintl_twn
年代新闻,http://?id=niandainews_twn
纬来日本台,http://?id=videolandjapan
纬来电影台,http://?id=videolandmovie_twn
纬来体育台,http://?id=videolandsport
纬来综合台,http://?id=videolandzonghe
纬来育乐,http://?id=videolandyule
纬来精彩,http://?id=videolandspecial_twn
好消息 2,http://?id=goods_twn
大爱2台,http://?id=catchplay_twn
亚洲美食,http://?id=afc_twn
美食星球,http://?id=foodplanet_twn
亚洲旅游 TLC Asia,http://?id=tlc_twn
东森电影 ETTV Movie,http://?id=ettvmovie
阿里郎 Arirang,http://?id=arirang_twn
博斯运动 1,http://?id=bosisport1_twn
博斯运动 2,http://?id=bosisport2_twn
博斯高球2 HD,http://?id=bosigolf2_twn
博斯网球 HD,http://?id=bositennis_twn
东森洋片 ETTV Western,http://?id=ettvwestern
龙华洋片 Lunghua Western,http://?id=lunghuawestern_twn
博斯无限,http://?id=bosiunlimited_twn
MTV Live,http://?id=mtvhd_twn
龙详时代,http://?id=lungxiangtime_twn
EYETV 旅游,http://?id=eyetvtravel_twn
靖天卡通台,http://?id=jingtiancartoon_twn
EYETV 戏剧,http://?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://?id=weishichinese_twn
东森幼幼 Yoyo TV,http://?id=yoyo_twn
卫视电影台,http://?id=weishimovie_twn
美亚电影,http://?id=meiyamovie_twn
爱尔达影剧台,http://?id=eltayingju_twn
爱尔达综合台,http://?id=eltazonghe_twn
星卫电影,http://?id=xingwei_movie
爱尔达影剧,http://?id=eltayingju_twn
爱尔达体育2台,http://?id=eltasport2_twn
爱尔达体育3台,http://?id=eltasport3_twn
AFC 亚洲旅游台,http://?id=asiatravel_twn
SmartTV-印度,#genre#
Sun TV HD,http://?id=Suntv
Star Vijay,http://?id=Starvijay
Colors Tamil,http://?id=Colorstam_mega
Sun Music,http://?id=Sunmusic
Astro Sunlife,http://?id=Sunlife
Astro Vaanavil,http://?id=Vaanavil
Zee Tamil,http://?id=Zeetamil
Zee Business,http://?id=Zeebusiness
News 18 Tamil,http://?id=news18tamil_raj
Adithya,http://?id=Adithya
Makkal TV,http://?id=Makkaltv
Zee Action,http://?id=Zeeaction
Astro KTV,http://?id=Astroktv
Zee TV HD,http://?id=Zeetvhd
Zee Cinema HD,http://?id=Zeecinemahd
Color HD,http://?id=Colorhd
Starplus HD,http://?id=Starplushd
Picture HD,http://?id=Npicture
Zee News,http://?id=Zeenews
Asianet,http://?id=asianet_raj
Asianet News,http://?id=asianetnews_raj
Times Now,http://?id=timesnow_mega
BBC Earth Tamil,http://?id=bbcearthtam_raj
Discovery World Tamil,http://?id=discoveryworldtam_raj
History Tamil,http://?id=historytam_raj
NatGeo Tamil,http://?id=natgeotamil_raj
Natgeo Wild Tamil,http://?id=natgeowildtamil_raj
Discovery Kids Tamil,http://?id=discoverykidtamil_raj
Discovery Tamil,http://?id=discoverytamil_raj
Sony Yay Tamil,http://?id=sonyyaytam_raj
Sun TV India,http://?id=suntv_raj
Starmaa HD,http://?id=starmaa_raj
Starmaa Movies HD,http://?id=starmaamovies_raj
Bollyone,http://?id=Bollyone
Astro Sunmusic,http://?id=Sunmusic
Sony Pix HD,http://?id=sonypix_mega
Vijay Super,http://?id=vijaysuper_raj
SmartTV-電影,#genre#
HBO_HD,http://?id=hbohd_twn
HBO_HITS,http://?id=hbohits_twn
Hollywood Movies,http://?id=hollywoodmovies_twn
CCTV-6,http://?id=cctv6
CINEMAX,http://?id=cinemax_twn
Cinemax,http://?id=Cinemax
AXN Taiwan,http://?id=axn_twn
大爱2台,http://?id=catchplay_twn
东森电影 ETTV Movie,http://?id=ettvmovie
东森洋片 ETTV Western,http://?id=ettvwestern
龙华洋片 Lunghua Western,http://?id=lunghuawestern_twn
龙详时代,http://?id=lungxiangtime_twn
Animax,http://?id=Animax
Movies Now HD,http://?id=moviesnow_raj
Star Movies HD,http://?id=starmovies_raj
卫视中文台 Star Movies Chinese,http://?id=weishichinese_twn
HBO Family,http://?id=Hbofamily
卫视电影台,http://?id=weishimovie_twn
HBO HD,http://?id=Hbo
Hits,http://?id=Hits
Warner TV,http://?id=WarnerTV
美亚电影,http://?id=meiyamovie_twn
HBO Signature,http://?id=Hbosignature
HBO Hits,http://?id=Hbohits
星卫电影,http://?id=xingwei_movie
SCM,http://?id=Weishimovie
Thrill,http://?id=Thrill
Hits Movie,http://?id=Hitsmovie
One,http://?id=One_mega
tvN Movie,http://?id=Tvnmovie
Celestial Classic,http://?id=Celestial2
Celestial Movies HD,http://?id=Celestialindo
Axn HD,http://?id=Axn
Paramount Network,http://?id=Paramountnetwork
Astrol Kplus,http://?id=Kplus
Rock Actions,http://?id=Rockaction
Rock Entertainment,http://?id=Rockentertain
Sony Pix HD,http://?id=sonypix_mega
SmartTV-紀錄,#genre#
Natgeo_HD,http://?id=natgeohd_twn
NatGeo_Wild HD,http://?id=natgeowild_twn
Animal_Planet,http://?id=animalplanet_twn
Discovery Asia,http://?id=discoverytwn_twn
CI,http://?id=ci_twn
Asia Travel,http://?id=asiatravel_twn
Discovery HD,http://?id=discoveryhd_twn
亚洲美食,http://?id=afc_twn
美食星球,http://?id=foodplanet_twn
亚洲旅游 TLC Asia,http://?id=tlc_twn
NatGeo HD,http://?id=Natgeo
Fashion TV,http://?id=fashiontv_twn
History,http://?id=History
BBC Earth HD,http://?id=bbcearth_twn
BBC Earth Lifestyle,http://?id=bbclifestyle_twn
MTV Live,http://?id=mtvhd_twn
NatGeo Wild HD,http://?id=Natgeowild
Animal Planet (Eng),http://?id=AnimalPlanet
TLC,http://?id=Tlc
AFC 亚洲旅游台,http://?id=asiatravel_twn
Foodnetwork Hd,http://?id=Foodnetwork_mega
HGTV,http://?id=HGTV
SmartTV-新聞,#genre#
Skynews,http://?id=skynews_antik
ABC News,http://?id=abcnews_glo
东森财经新闻 ETTV Business,http://?id=ettvcaijing_twn
CBS HD,http://?id=cbshd_glo
CBSN HD,http://?id=cbsn_glo
France 24,http://?id=france24_twn
DW (Deutsch),http://?id=dw_twn
NHK World,http://?id=nhkworld_japan
Fox News,http://?id=foxnews_twn
CGTN,http://?id=CGTN
CNN International,http://?id=Cnn
CNN backup,http://?id=cnn_twn
CNBC,http://?id=cnbc_twn
CNA,http://?id=cna
BBC World News,http://?id=bbcnews_twn
BBC World News,http://?id=Bbcnews
Bloomberg News,http://?id=bloomberg_twn
Al-Jazeera,http://?id=aljazeera_twn
SmartTV-兒童,#genre#
Baby TV Eng,http://?id=Babytv
CBeebies,http://?id=Cbeebies
Kids TV,http://?id=KidsTV
Boomerang,http://?id=Boomerang
Disney Taiwan,http://?id=disneytwn_twn
Momo TV,http://?id=momo1_twn
Animax,http://?id=Animax
靖天卡通台,http://?id=jingtiancartoon_twn
Boomerang Taiwan,http://?id=boomerang_twn
Baby TV,http://?id=babytv_twn
MiaoMi,http://?id=MiaoMi
东森幼幼 Yoyo TV,http://?id=yoyo_twn
Cartoon Network,http://?id=Cn
Nickelodeon,http://?id=Nickelodeon
Nick Jr,http://?id=Nickjr
SmartTV-泰國,#genre#
Channel 3 Thailand,http://?id=ch3_pat
Channel 5 Thailand,http://?id=ch5_pat
Channel 7 Thailand,http://?id=ch7_pat
MCOT HD Thailand-1,http://?id=mcot_pat
PPTV Thailand1,http://?id=pptv_pat
Thai Thai,http://?id=thaithai_pat
Amarin,http://?id=amarin_pat
Ch 8,http://?id=ch8_pat
GmmOne,http://?id=gmmone_pat
Mono,http://?id=mono_pat
Thairath,http://?id=thairath_pat
tpbs,http://?id=tpbs_pat
Workpoint,http://?id=workpoint_pat
Gmm Channel,http://?id=gmmchannel_pat
Nation,http://?id=nation_pat
Tnn24,http://?id=tnn24_pat
Nbt,http://?id=nbt_pat
New,http://?id=new_pat
TPTV,http://?id=tptv_pat
SmartTV-英國,#genre#
BBC 1,http://?id=bbc1_antik
BBC 2,http://?id=bbc2_antik
CBBC,http://?id=cbbc_antik
More4,http://?id=more4_antik
Freesports,http://?id=freesports_antik
Skynews,http://?id=skynews_antik
Pick TV,http://?id=picktv_antik
itv 1,http://?id=itv1_antik
itv 2,http://?id=itv2_antik
Euronews,http://?id=euronews_antik
Channel 4,http://?id=channel4_antik
NatGeo HD,http://?id=Natgeo
CBeebies,http://?id=Cbeebies
History,http://?id=History
Kids TV,http://?id=KidsTV
France 24,http://?id=france24_twn
DW (Deutsch),http://?id=dw_twn
Boomerang,http://?id=Boomerang
BBC Earth HD,http://?id=bbcearth_twn
BBC Earth Lifestyle,http://?id=bbclifestyle_twn
MTV Live,http://?id=mtvhd_twn
Star Movies HD,http://?id=starmovies_raj
NHK World,http://?id=nhkworld_japan
HBO HD,http://?id=Hbo
Warner TV,http://?id=WarnerTV
NatGeo Wild HD,http://?id=Natgeowild
Nickelodeon,http://?id=Nickelodeon
Nick Jr,http://?id=Nickjr
Thrill,http://?id=Thrill
CGTN,http://?id=CGTN
Skysports Arena,http://?id=tiankongarena
Skysports F1,http://?id=tiankongf1
Skysports Cricket,http://?id=tiankongcricket
Skysports EPL,http://?id=tiankongepl
Skysports Football,http://?id=tiankongfootball
Skysports Golf,http://?id=tiankonggolf
Skysports Main Event,http://?id=tiankongmain
Skysports News,http://?id=tiankongnews
Hits Movie,http://?id=Hitsmovie
Animal Planet (Eng),http://?id=AnimalPlanet
CNBC,http://?id=cnbc_twn
TLC,http://?id=Tlc
BBC World News,http://?id=bbcworldnews_antik
HGTV,http://?id=HGTV
Axn HD,http://?id=Axn
Bloomberg News,http://?id=bloomberg_twn
Al-Jazeera,http://?id=aljazeera_twn
SmartTV-越南,#genre#
ANTV,http://?id=viet_antv
VTV 1,http://?id=viet_vtv1
VTV 7,http://?id=viet_vtv7
HTV 7,http://?id=viet_htv7
HTV 9,http://?id=viet_htv9
BPTV 2,http://?id=viet_bptv2
BRT HD,http://?id=viet_brt
Ca Mau TV,http://?id=viet_camautv
Danang TV1 HD,http://?id=viet_danangtv1
Danang TV2 HD,http://?id=viet_danangtv2
HBTV HD,http://?id=viet_hbtv
PTTH 1,http://?id=viet_ptth1
SmartTV-韓國,#genre#
Arirang HD,http://?id=arirang_korea
Yonhap News,http://?id=yonhapnews_korea
CBS,http://?id=cbs_korea
EBS 1,http://?id=ebs1_korea
EBS2,http://?id=ebs2_korea
EBS Plus2,http://?id=ebsplus2_korea
SBS Plus,http://?id=sbsplus_korea
YTN,http://?id=ytn_korea
KBS World 24,http://?id=kbsworld24_korea
YTN Science,http://?id=ytnscience_korea
YTN Korean,http://?id=ytnkorean_korea
YTN DMB,http://?id=ytndmb_korea
Apps TV,http://?id=appongoogle_korea
All the Kpop,http://?id=allthekpop_korea
J the Kpop,http://?id=jthekpop_korea
EBS Kids,http://?id=ebskids_korea
CGNTV,http://?id=cgntv_korea
SmartTV-日本,#genre#
NHK-総合-2,http://?id=nhkg_japan
NHK-E,http://?id=nhke_japan
テレビ朝日 Asahi TV,http://?id=asahitv_japan
JET 綜合,http://?id=jettv_japan
テレビ東京 Tokyo TV,http://?id=tokyotv_japan
TOKYOMX,http://?id=tokyomx_japan
NHKBS1,http://?id=nhkbs1_japan
NHKBSプレミア Premium,http://?id=nhkpremium_japan
BSジャパン 181,http://?id=bs181_japan
BSフジ BS Fuji,http://?id=bsfuji_japan
CNA Japan,http://?id=cna_japan
BS-TBS,http://?id=bstbs_japan
NHK Oaska,http://?id=nhkosaka_japan
NHK World,http://?id=nhkworld_japan
